,MP ID,Breed,Gender,Age (years),KIT Pattern,Status,Ki67,AgNOR,AgNOR x Ki67,Slides,Kiupel,Patnaik,Lage,Scanned ,QF
26,MP-21-0005475,Mixed ,Fs,9,2,KIT-11,14.4,1.33,19.15,4,High,2,,x,97
27,MP-21-0005446,Great Dane,Fs,7,2,KIT-11,18,2.36,42.6,4,High,3,,x,90
28,MP-21-0005077,?,?,?,1,KIT-11,18,2,35.8,4,Low,1,,x,97
29,MP-21-0005067,Mixed ,Fs,12,1,KIT-11,12,2.5,27.1,4,Low,2,,x,99
30,MP-21-0005039,Mixed,Mc,10,2,KIT-11,80,2.8,222.3,4,Low,2,sc,x,99
31,MP-21-0005027,?,?,?,2,KIT-11,45,3,135,4,High,2,,x,97
32,MP-21-0005024,Maltese Dog,Fs,14,2,KIT-11,75,3.2,242.8,4,High,3,,x,98
33,MP-21-0004823,?,Mc,9,2,KIT-11,9.2,1.53,14.12,4,High,2,,x,91
34,MP-21-0003988,Mixed,Mc,12,1,KIT-11,15,2,29.6,4,Low,2,,x,91
35,MP-21-0002781,Labrador ,Mc,6,2,KIT-11,54,2.8,151.2,4,High,2,,x,91
36,MP-21-0002779,?,Fs,8,2,KIT-11,37,3,111,4,High,2,,x,98
37,MP-21-0002713,Mixed,Mc,8,2,KIT-11,36,2.7,97.2,4,High,2,,x,90
38,MP-21-0002671,Yorkshire Terrier,Fs,11,2,KIT-11,31,2.7,83.7,4,High,2,,x,97
39,MP-21-0002609,?,?,?,2,KIT-11,36,2.7,97.2,4,Low,1,,x,98
40,MP-21-0001784,Labrador,Mc,12,2,KIT-11,36,3.1,110.2,4,High,2,,x,85
41,MP-21-0001757,Golden Retriver,F,5,2,KIT-11,30,3,90,4,High,2,,x,76
42,MP-21-0001718,Maltese Dog,Fs,13,2,KIT-11,26,2.8,79.9,4,Low,2,,x,99
43,MP-21-0001688,?,?,?,2,KIT-11,30,2.8,85.1,4,Low,2,,x,97
44,MP-21-0001291,?,Mc,12,2,KIT-11,20,3.16,63.33,4,High,3,,x,98
45,MP-21-0001088,Flat-Coated Retriever,F,?,3,KIT-11,26,5.4,140.4,4,Low,2,,x,88
46,MP-21-0001084,Springer Spaniel,Fs,8,2,KIT-11,27,2.9,78.3,4,Low,2,,x,86
47,MP-21-0001055,Rhodesian Ridgeback,Fs,5,1,KIT-11,15,1.8,27.3,4,Low,2,,x,94
48,MP-21-0001023,?,?,?,2,KIT-11,40,2.8,112.2,4,Low,2,,x,98
49,MP-21-0001019 B,Labrador,Mc,10,1,KIT-11,15,2.1,31.5,4,Low,2,,x,95
50,MP-21-0000969,Labrador,Mc,?,2,KIT-11,34,3,100.5,4,High,3,,x,97
51,MP-21-0000895,Mixed,Fs,9,2,KIT-11,40,2.8,112.9,4,Low,2,,x,96
52,MP-21-0000490,Shih tzu,Mc,7,2,KIT-11,6.4,1.5,9.6,4,High,2,,x,93
53,MP-21-0000400,Mixed,Mc,4,2,KIT-11,3,1.7,5.1,4,Low,2,,x,95
54,MP-21-0000379,Yorkshire Terrier,Fs,2,2,KIT-11,5.6,1.43,8.03,4,Low,2,,x,94
55,MP-21-0000375,?,?,?,2,KIT-11,14,2.3,32.2,4,High,2,,x,99
56,MP-21-0000305,?,?,?,2,KIT-11,12,2.67,32.04,4,High,2,,x,80
57,MP-21-0000146,?,?,?,2,KIT-11,8.2,2.37,19.43,4,Low,2,,x,85
58,MP-20-0015808,Boxer,Fs,10,2,KIT-11,60,2.8,167.3,4,Low,2,,x,97
59,MP-20-0015628,Mixed,Fs,9,2,KIT-11,24,2.9,69.6,4,High,2,,x,98
60,MP-20-0015275,Chihuahua,?,?,2,KIT-11,42,3.1,128.5,4,High,3,,x,98
61,MP-20-0015272,Boxer,Mc,9,2,KIT-11,60,3.1,187.7,4,High,2,sc,x,81
62,MP-20-0015231,Labrador,Mc,7,2,KIT-11,30,2.7,79.7,4,High,2,,x,32
63,MP-20-0015012,?,?,?,2,KIT-11,3.4,1.97,6.69,4,Low,2,sc,x,97
64,IH-20-0014949,Mixed,Mc,7,2,KIT-11,?,?,?,2,High,3,,x,98
65,MP-20-0014785,?,?,?,2,KIT-11,8.4,2.43,20.44,4,Low,2,,x,"""0"""
66,MP-20-0014732,Mixed ,Fs,10,2,KIT-11,23.6,2.47,58.21,4,High,3,,x,97
67,MP-20-0014002,Shiba Inu,Fs,12,2,KIT-11,30,2.7,80.9,4,Low,2,,x,87
68,MP-20-0013991,Bichon Frisé,Mc,12,2,KIT-11,36,2.5,91.6,4,High,2,,x,88
69,MP-20-0013951,Dachshund,Mc,13,2,KIT-11,60,2.8,169.1,4,Low,2,sc,x,90
